svg_x,svg_y,t,S,stroke,dash,sw,style_key,curve_label
109.725,349.692,-20.129393561723393,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.774,349.692,-20.119934602189243,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
109.823,349.692,-20.110475642655096,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.466,349.692,-19.9863509287682,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.515,349.692,-19.97689196923405,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
110.563,349.692,-19.967626049690395,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.403,350.234,-19.805472457676412,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.452,350.234,-19.796013498142266,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
111.551,350.234,-19.776902539083473,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.242,350.234,-19.64351190565292,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.341,350.234,-19.624400946594132,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
112.341,350.234,-19.624400946594132,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.28,350.779,-19.44313639552136,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.28,350.779,-19.44313639552136,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
113.378,350.779,-19.42421847645306,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.612,350.779,-19.1860071281849,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.711,350.779,-19.16689616912611,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
114.711,350.779,-19.16689616912611,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.649,351.322,-18.985824658043832,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
115.698,351.322,-18.97636569850968,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.093,351.322,-18.90011490226501,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
116.143,351.322,-18.89046290274037,1.05,#231f20,NA,0.177,#231f20|solid|0.177,NA
